num;retCode;sno;tot;sbi;mday;lat;lng;sarean;snaen
1;1;1;180;32;2.0201E+13;25.04085789;121.5679044;  Xinyi Dist.;  MRT Taipei City Hall Stataion(Exit 3)-2
2;1;2;48;11;2.0201E+13;25.041254;121.55742;  Daan Dist.;  MRT S.Y.S Memorial Hall Stataion(Exit 2.)
3;1;3;40;19;2.0201E+13;25.03779722;121.5651694;  Xinyi Dist.;  Taipei City Hall
4;1;4;60;36;2.0201E+13;25.03603611;121.562325;  Xinyi Dist.;  Citizen Square
5;1;5;60;13;2.0201E+13;25.03656389;121.5686639;  Xinyi Dist.;  Xingya Jr. High School
6;1;6;80;9;2.0201E+13;25.034047;121.565973;  Xinyi Dist.;  NAN SHAN PLAZA
7;1;7;80;43;2.0201E+13;25.03303889;121.5656194;  Xinyi Dist.;  Xinyi Square(Taipei 101)
8;1;8;60;16;2.0201E+13;25.03521389;121.5636889;  Xinyi Dist.;  TWTC Exhibition Hall 3
9;1;9;40;25;2.0201E+13;25.031785;121.57448;  Xinyi Dist.;  Songde
10;1;10;54;1;2.0201E+13;25.02866111;121.5661167;  Xinyi Dist.;  Emergency Operations Center of Taipei City
11;1;11;50;0;2.0201E+13;25.034937;121.55762;  Xinyi Dist.;  Sanchangli
12;1;12;48;7;2.0201E+13;25.026679;121.561747;  Xinyi Dist.;  Taipei Medical University
13;1;13;58;27;2.0201E+13;25.03809;121.58367;  Xinyi Dist.;  Fude Park
14;1;14;32;1;2.0201E+13;25.06424;121.54037;  Zhongshan Dist.;  Rongxing Park
16;1;16;48;26;2.0201E+13;25.036084;121.579135;  Xinyi Dist.;  Songshan Vocational High School
17;1;17;34;6;2.0201E+13;25.05862;121.55514;  Songshan Dist.;  Minsheng & Guangfu Intersection
18;1;18;40;2;2.0201E+13;25.049408;121.55261;  Songshan Dist.;  Taipei City Arts Promotion Office
19;1;19;30;15;2.0201E+13;25.02863;121.56981;  Xinyi Dist.;  Xiangshan Park
20;1;20;58;0;2.0201E+13;25.025896;121.543293;  Daan Dist.;  MRT Technology Bldg. Sta.
21;1;21;66;29;2.0201E+13;25.057985;121.548982;  Songshan Dist.;  Minsheng & Dunhua Intersection
22;1;22;44;16;2.0201E+13;25.048824;121.57845;  Xinyi Dist.;  Songshan Rail Sta.
23;1;23;32;10;2.0201E+13;25.055074;121.602798;  Nangang Dist.;  Dongxin Elementary School
24;1;24;46;0;2.0201E+13;25.03293;121.53747;  Daan Dist.;  Xinyi & Jianguo Intersection
25;1;25;30;3;2.0201E+13;25.04543;121.57205;  Xinyi Dist.;  Yongji & Songxin Intersection
26;1;26;72;39;2.0201E+13;25.050142;121.592375;  Nangang Dist.;  MRT Kunyang Sta. (Exit 1)
27;1;27;38;18;2.0201E+13;25.05469;121.61669;  Nangang Dist.;  MRT Nangang Exhibition Center Sta. (Exit 5)
28;1;28;32;7;2.0201E+13;25.04814;121.57467;  Xinyi Dist.;  Wuchang Park
29;1;29;54;35;2.0201E+13;25.03164;121.52655;  Daan Dist.;  Jinshan & Aiguo Intersection
30;1;30;74;50;2.0201E+13;25.017054;121.544352;  Daan Dist.;  Keelung & Changxing Intersection
31;1;31;30;8;2.0201E+13;25.022413;121.53456;  Daan Dist.;  Xinhai & Xinsheng Intersection
32;1;32;38;4;2.0201E+13;25.023884;121.553161;  Daan Dist.;  MRT Liuzhangli Sta.
33;1;33;46;21;2.0201E+13;25.04878;121.56087;  Songshan Dist.;  Zhonglun High School
34;1;34;32;0;2.0201E+13;25.058369;121.532934;  Zhongshan Dist.;  MRT Xingtian Temple Sta. (Exit 1)
35;1;35;30;1;2.0201E+13;25.059978;121.533302;  Zhongshan Dist.;  MRT Xingtian Temple Sta. (Exit 3)
36;1;36;72;7;2.0201E+13;25.02101;121.54153;  Daan Dist.;  NTU Information Bldg.
37;1;37;46;1;2.0201E+13;25.0337;121.528988;  Daan Dist.;  MRT Dongmen Sta. (Exit 4)
38;1;38;32;15;2.0201E+13;25.026603;121.52944;  Daan Dist.;  NTNU Library
39;1;39;26;14;2.0201E+13;25.058;121.61422;  Nangang Dist.;  Nangang Park
40;1;40;34;2;2.0201E+13;25.04287;121.5864;  Nangang Dist.;  Yucheng Park
41;1;41;30;8;2.0201E+13;25.047425;121.613706;  Nangang Dist.;  Academia Park
42;1;42;38;24;2.0201E+13;25.04431;121.58174;  Xinyi Dist.;  MRT Houshanpi Sta.(Exit 1)
43;1;43;30;8;2.0201E+13;25.035639;121.614154;  Nangang Dist.;  Linyun Market
44;1;44;36;27;2.0201E+13;25.05973;121.616187;  Nangang Dist.;  MRT Nangang Software Park Sta.(Exit 2)
45;1;45;30;2;2.0201E+13;25.01476;121.534538;  Daan Dist.;  MRT Gongguan Sta.(Exit 2)
46;1;46;58;28;2.0201E+13;25.056504;121.611389;  Nangang Dist.;  Nangang Elementary School
47;1;47;34;0;2.0201E+13;25.042275;121.533939;  Daan Dist.;  MRT Zhongxiao Xinsheng Sta.(Exit 4)
48;1;48;38;2;2.0201E+13;25.05247;121.608202;  Nangang Dist.;  Nangang Rail Sta.(Zhongxiao E.Rd.)
49;1;49;52;5;2.0201E+13;25.040901;121.548252;  Daan Dist.;  Longmen Square
50;1;50;52;6;2.0201E+13;25.062002;121.560186;  Songshan Dist.;  MinQuan Park
51;1;51;44;6;2.0201E+13;25.065031;121.536775;  Zhongshan Dist.;  Jianguo & Nongan Intersection
52;1;52;30;14;2.0201E+13;25.054761;121.536925;  Zhongshan Dist.;  Jianguo & Changchun Intersection
53;1;53;26;14;2.0201E+13;25.044781;121.536609;  Zhongshan Dist.;  Bade Market
54;1;54;30;0;2.0201E+13;25.028798;121.538073;  Daan Dist.;  Taipei Public Library
55;1;55;46;27;2.0201E+13;25.049505;121.549408;  Songshan Dist.;  Taipei Stadium
56;1;56;42;27;2.0201E+13;25.038954;121.522334;  Zhongzheng Dist.;  Renai & Linsen Intersection
57;1;57;46;1;2.0201E+13;25.026217;121.53519;  Daan Dist.;  Xinsheng & Heping Intersection
58;1;58;48;0;2.0201E+13;25.045267;121.5222;  Zhongzheng Dist.;  MRT Shandao Temple Sta(Exit 1)
59;1;59;32;15;2.0201E+13;25.052227;121.525805;  Zhongshan Dist.;  Linsen Park
60;1;60;30;13;2.0201E+13;25.064317;121.533487;  Zhongshan Dist.;  Zhongshan Dist. Admin. Office
61;1;61;86;0;2.0201E+13;25.0131;121.539723;  Daan Dist.;  N.T.U.S.T
62;1;62;34;21;2.0201E+13;25.026827;121.520258;  Zhongzheng Dist.;  Nanchang Park
63;1;63;36;9;2.0201E+13;25.037569;121.545632;  Daan Dist.;  Taipei City Hospital Renai Branch
64;1;64;50;38;2.0201E+13;25.037773;121.517029;  Zhongzheng Dist.;  National Central Library
65;1;65;38;3;2.0201E+13;25.022725;121.502708;  Wanhua Dist.;  Youth Park(Exit 3)
66;1;66;42;11;2.0201E+13;25.007528;121.537188;  Wenshan Dist.;  NTNU Gongguan Campus
67;1;67;48;13;2.0201E+13;25.042973;121.516428;  Zhongzheng Dist.;  MRT Nat’l Taiwan U. Hospital Sta.(Exit 4)
68;1;68;36;1;2.0201E+13;25.025865;121.506536;  Wanhua Dist.;  Guoxing & Qingnian Intersection
69;1;69;34;14;2.0201E+13;24.999837;121.547778;  Wenshan Dist.;  Xingfong Park
70;1;70;52;31;2.0201E+13;25.032752;121.561645;  Xinyi Dist.;  MRT Taipei 101/World Trade Center Sta.
71;1;71;30;0;2.0201E+13;25.032985;121.554204;  Daan Dist.;  MRT Xinyi Anhe Sta.(Exit.4)
72;1;72;42;9;2.0201E+13;25.048611;121.529346;  Zhongshan Dist.;  Xinsheng & Changan Intersection
73;1;73;32;13;2.0201E+13;25.072228;121.510195;  Datong Dist.;  Jiuquan & Yanping Intersection
74;1;74;40;1;2.0201E+13;25.033817;121.530547;  Zhongzheng Dist.;  Xinyi & Lianyun Intersection
75;1;75;30;1;2.0201E+13;25.0300508;121.557635;  Xinyi Dist.;  Keelung & Guangfu Intersection
76;1;76;36;11;2.0201E+13;25.056387;121.527522;  Zhongshan Dist.;  Xinsheng & Changchun Intersection
77;1;77;32;1;2.0201E+13;25.059147;121.56297;  Songshan Dist.;  Minsheng Activity Center
78;1;78;52;10;2.0201E+13;25.071824;121.519287;  Datong Dist.;  MRT Yuanshan Sta. (Exit 2)
79;1;79;50;36;2.0201E+13;25.061285;121.520205;  Datong Dist.;  MRT Minquan W.Rd. Sta.(Exit 3)
80;1;80;44;12;2.0201E+13;25.02751;121.495869;  Wanhua Dist.;  Huajiang High School
81;1;81;40;4;2.0201E+13;25.020547;121.528552;  Daan Dist.;  MRT Taipower Building Sta. (Exit 2)
82;1;82;60;13;2.0201E+13;25.041778;121.508693;  Zhongzheng Dist.;  MRT Ximen Sta.(Exit 3)
83;1;83;74;0;2.0201E+13;25.033344;121.534236;  Daan Dist.;  MRT Daan Park Sta.
84;1;84;38;6;2.0201E+13;25.029705;121.502899;  Wanhua Dist.;  Fuhua Garden New Village(City)
85;1;85;46;16;2.0201E+13;25.033362;121.54911;  Daan Dist.;  Xinyi & Dunhua Intersection
86;1;86;36;9;2.0201E+13;25.062344;121.545138;  Songshan Dist.;  Minquan & Fuxing Intersection
87;1;87;48;0;2.0201E+13;25.033078;121.543057;  Daan Dist.;  MRT Daan Sta.
88;1;88;62;1;2.0201E+13;25.032922;121.57087;  Xinyi Dist.;  MRT Xiangshan Sta.
89;1;89;44;17;2.0201E+13;25.027323;121.516385;  Zhongzheng Dist.;  Heping Chongqing Intersection
90;1;90;44;0;2.0201E+13;25.037783;121.501708;  Wanhua Dist.;  Laosong Elementary School
91;1;91;36;23;2.0201E+13;25.070629;121.523268;  Zhongshan Dist.;  Taipei Fine Arts Museum
92;1;92;42;7;2.0201E+13;25.046618;121.507169;  Wanhua Dist.;  Kaifong & Xining Intersection
93;1;93;56;7;2.0201E+13;25.023877;121.569836;  Xinyi Dist.;  Wu Xing Bus Station.
94;1;94;52;27;2.0201E+13;24.993254;121.541059;  Wenshan Dist.;  MRT Jingmei Sta.
95;1;95;32;8;2.0201E+13;25.023393;121.497679;  Wanhua Dist.;  Dongyuan Elementary School
96;1;96;30;3;2.0201E+13;25.061567;121.566558;  Songshan Dist.;  Sanmin Park
97;1;97;52;26;2.0201E+13;25.082825;121.524721;  Shilin Dist.;  MRT Jiantan Sta.(Exit 2)
98;1;98;42;12;2.0201E+13;24.999378;121.540197;  Wenshan Dist.;  Roosevelt & Jinglong Intersection
99;1;99;42;0;2.0201E+13;25.057866;121.520711;  Datong Dist.;  MRT Shuanglian Sta. (Exit 2)
100;1;100;40;18;2.0201E+13;25.045753;121.530697;  Zhongzheng Dist.;  Jinshen & Civic Blvd. Intersection
101;1;101;50;0;2.0201E+13;25.043668;121.528487;  Zhongzheng Dist.;  Huashan 1914‧Creative Park
102;1;102;32;6;2.0201E+13;25.02043;121.525322;  Zhongzheng Dist.;  Taipei City Hakka Cultural Park
103;1;103;60;11;2.0201E+13;25.033639;121.503028;  Wanhua Dist.;  Wanhua Rail Sta.
104;1;104;38;21;2.0201E+13;25.004023;121.54074;  Wenshan Dist.;  Taipei Pot Plant Auction
105;1;105;42;5;2.0201E+13;25.044412;121.505409;  Wanhua Dist.;  Emei Parking Lot
106;1;106;44;9;2.0201E+13;25.032932;121.497674;  Wanhua Dist.;  Xiyuan & Bangka Intersection
107;1;107;54;35;2.0201E+13;25.036402;121.509422;  Zhongzheng Dist.;  MRT Xiaonanmen Sta. (Exit 1)
108;1;108;32;3;2.0201E+13;25.073306;121.515843;  Datong Dist.;  Taipei Confucius Temple
109;1;109;36;2;2.0201E+13;25.071606;121.530805;  Zhongshan Dist.;  Lin An-tai Historical House
110;1;110;44;8;2.0201E+13;25.086376;121.560888;  Neihu Dist.;  Wenhu Elementary School
111;1;111;54;3;2.0201E+13;25.040184;121.543497;  Daan Dist.;  MRT Zhongxiao Fuxing Sta.(Exit 2)
112;1;112;48;30;2.0201E+13;25.137456;121.503124;  Beitou Dist.;  MRT Xinbeitou Sta.
113;1;113;38;3;2.0201E+13;25.037724;121.561178;  Xinyi Dist.;  Renai & Yixian Intersection
114;1;114;30;10;2.0201E+13;25.109908;121.530386;  Shilin Dist.;  Lanya Park
115;1;115;68;15;2.0201E+13;25.048222;121.520526;  Zhongzheng Dist.;  Taipei Bus Sta.
116;1;116;44;16;2.0201E+13;25.096122;121.530215;  Shilin Dist.;  Fulin Park
117;1;117;58;8;2.0201E+13;25.132581;121.498618;  Beitou Dist.;  MRT Beitou Sta.
118;1;118;36;4;2.0201E+13;25.136929;121.499152;  Beitou Dist.;  Daye & Datong Intersection
119;1;119;68;31;2.0201E+13;25.08418;121.555116;  Zhongshan Dist.;  MRT Jiannan Rd. Sta.(Exit 2)
120;1;120;46;6;2.0201E+13;25.035479;121.50026;  Wanhua Dist.;  MRT Longshan Temple Sta. (Exit. 1)
121;1;121;66;24;2.0201E+13;25.05298;121.540568;  Zhongshan Dist.;  Longjiang & Nanjing Intersection
122;1;122;50;9;2.0201E+13;25.079666;121.57584;  Neihu Dist.;  MRT Gangqian Sta. (Exit 2)
123;1;123;44;7;2.0201E+13;25.116325;121.534136;  Shilin Dist.;  Tienmu Sports Park
124;1;124;36;3;2.0201E+13;25.115863;121.518163;  Beitou Dist.;  Zenhua Park
125;1;125;30;4;2.0201E+13;25.038609;121.498495;  Wanhua Dist.;  Huaxi Park
126;1;126;30;14;2.0201E+13;25.022073;121.548336;  Daan Dist.;  Dunhua & Keelung Intersection
127;1;127;40;13;2.0201E+13;25.073277;121.619521;  Neihu Dist.;  Donghu Junior High School
128;1;128;36;4;2.0201E+13;25.026808;121.546726;  Daan Dist.;  Chengong Public Housing
129;1;129;50;9;2.0201E+13;25.078424;121.58456;  Neihu Dist.;  MRT Wende Sta. (Exit 2)
130;1;130;26;5;2.0201E+13;25.031445;121.519411;  Zhongzheng Dist.;  Roosevelt & Ningbo E. St. Intersection
131;1;131;52;23;2.0201E+13;25.079322;121.568688;  Neihu Dist.;  Zhouzhi Park No.2
132;1;132;88;0;2.0201E+13;25.01603085;121.5331757;  Daan Dist.;  Roosevelt & Xinsheng S. Intersection
133;1;133;40;6;2.0201E+13;25.111839;121.525888;  Shilin Dist.;  Lanxing Park
134;1;134;64;11;2.0201E+13;25.10336;121.522629;  Shilin Dist.;  MRT Zhishan Sta.(Exit 2)
135;1;135;54;15;2.0201E+13;25.114513;121.515677;  Beitou Dist.;  MRT Shipai Sta. (Exit 2)
136;1;136;30;14;2.0201E+13;25.117457;121.51668;  Beitou Dist.;  NTUNHS
137;1;137;46;19;2.0201E+13;25.137976;121.493066;  Beitou Dist.;  Nat’l Defense U.
138;1;138;30;2;2.0201E+13;25.040558;121.575372;  Xinyi Dist.;  MRT Yongchun Sta. (Exit 2)
139;1;139;38;11;2.0201E+13;25.054501;121.510549;  Datong Dist.;  Yongle Market
140;1;140;46;5;2.0201E+13;25.063404;121.512909;  Datong Dist.;  MRT Daqiaotou Sta. (Exit 2)
141;1;141;36;13;2.0201E+13;24.989902;121.569984;  Wenshan Dist.;  Wenshan Dist. Admin. Center
142;1;142;52;19;2.0201E+13;24.997996;121.57444;  Wenshan Dist.;  MRT Muzha Sta.
143;1;143;72;11;2.0201E+13;24.997659;121.578752;  Wenshan Dist.;  MRT Taipei Zoo Sta.(Exit 2)
144;1;144;58;20;2.0201E+13;24.988363;121.576536;  Wenshan Dist.;  Nat’l Chengchi U.
145;1;145;40;20;2.0201E+13;25.066688;121.516149;  Datong Dist.;  Shude Park
146;1;146;46;3;2.0201E+13;25.092546;121.526556;  Shilin Dist.;  MRT Shilin Sta.(Exit 2)
147;1;147;32;1;2.0201E+13;25.089175;121.521814;  Shilin Dist.;  Shilin Sports Center
148;1;148;68;1;2.0201E+13;25.110331;121.518316;  Beitou Dist.;  MRT Mingde Sta.
149;1;149;62;22;2.0201E+13;25.116665;121.509621;  Beitou Dist.;  Beitou Sports Center
150;1;150;38;13;2.0201E+13;25.036568;121.57343;  Xinyi Dist.;  Songde Park
151;1;151;34;21;2.0201E+13;24.987507;121.549827;  Wenshan Dist.;  Examination Yuan
152;1;152;40;0;2.0201E+13;25.08521;121.519175;  Shilin Dist.;  Bailing Elementary School
153;1;153;36;12;2.0201E+13;25.059885;121.516299;  Datong Dist.;  Jiang Wei-shui Memorial Park
154;1;154;38;18;2.0201E+13;25.093396;121.519867;  Shilin Dist.;  Zhongzheng & Jihe Intersection
155;1;155;30;9;2.0201E+13;25.076193;121.57505;  Neihu Dist.;  Ruiguang & Gangqian Intersection
156;1;156;38;9;2.0201E+13;25.06853;121.61538;  Neihu Dist.;  Donghu Elementary School
157;1;157;42;4;2.0201E+13;25.082703;121.571467;  Neihu Dist.;  Lishan Elementary School
158;1;158;48;24;2.0201E+13;25.067026;121.61355;  Neihu Dist.;  MRT Donghu Sta.
159;1;159;36;1;2.0201E+13;25.082866;121.566695;  Neihu Dist.;  MRT Xihu Sta. (Exit 1)
161;1;161;56;12;2.0201E+13;25.131143;121.503768;  Beitou Dist.;  Dafong Park
162;1;162;70;0;2.0201E+13;25.062924;121.52772;  Zhongshan Dist.;  MRT Zhongshan Elementary School sta.(Exit 4)
163;1;163;72;38;2.0201E+13;25.018097;121.559279;  Daan Dist.;  MRT Linguang Sta.
164;1;164;56;25;2.0201E+13;25.126286;121.500801;  Beitou Dist.;  MRT Qiyan Sta.
165;1;165;62;7;2.0201E+13;25.120788;121.505693;  Beitou Dist.;  MRT Qilian Sta. (Exit 2)
166;1;166;34;3;2.0201E+13;24.980602;121.556177;  Wenshan Dist.;  Taipei JingMei Girls High School
167;1;167;50;25;2.0201E+13;25.095714;121.518046;  Shilin Dist.;  Taipei Astronomical Museum
168;1;168;44;8;2.0201E+13;25.02288;121.522855;  Zhongzheng Dist.;  Heti Elementary School
169;1;169;44;21;2.0201E+13;25.030015;121.509813;  Zhongzheng Dist.;  Taipei Botanical Garden
170;1;170;50;7;2.0201E+13;25.059245;121.568883;  Songshan Dist.;  XinDong Park
171;1;171;38;8;2.0201E+13;24.996842;121.559651;  Wenshan Dist.;  Taipei Wen Shan Sports Center
172;1;172;24;0;2.0201E+13;25.051562;121.562891;  Songshan Dist.;  MRT Nanjing Sanmin Sta. (Exit 1)
173;1;173;56;39;2.0201E+13;25.052181;121.533211;  Zhongshan Dist.;  MRT Songjiang Nanjing Sta. (Exit 7)
174;1;174;48;31;2.0201E+13;25.051702;121.553057;  Songshan Dist.;  MRT Taipei Arena Sta. (Exit 5)
175;1;175;52;42;2.0201E+13;25.051618;121.544847;  Songshan Dist.;  MRT Nanjing Fuxing Sta. (Exit 5)
176;1;176;94;18;2.0201E+13;25.055997;121.542318;  Zhongshan Dist.;  Xingan Huacheng Community
177;1;177;40;11;2.0201E+13;25.082538;121.507495;  Shilin Dist.;  Hulu Elementary School
178;1;178;32;7;2.0201E+13;25.078908;121.510306;  Shilin Dist.;  Yanping Public Housing
179;1;179;52;1;2.0201E+13;25.041355;121.59073;  Nangang Dist.;  Nangang Park
180;1;180;40;14;2.0201E+13;25.06877;121.592654;  Neihu Dist.;  Fuhua Market
181;1;181;52;3;2.0201E+13;25.02585;121.537383;  Daan Dist.;  JianGuo & Heping Intersection
182;1;182;50;41;2.0201E+13;25.0253;121.523537;  Zhongzheng Dist.;  MRT Guting Sta. (Exit 2)
183;1;183;32;15;2.0201E+13;25.05379;121.514179;  Datong Dist.;  Yuanhuan
184;1;184;42;3;2.0201E+13;25.084759;121.537892;  Zhongshan Dist.;  Jiantan Community
185;1;185;30;0;2.0201E+13;25.042342;121.54605;  Daan Dist.;  LiuGong Park
186;1;186;82;70;2.0201E+13;25.035414;121.514218;  Zhongzheng Dist.;  University of Taipei
187;1;187;34;20;2.0201E+13;25.037465;121.555769;  Daan Dist.;  Renai & Yanji Intersection
188;1;188;56;8;2.0201E+13;25.090293;121.50189;  Shilin Dist.;  Taipei Municipal Shezi Elementary School
189;1;189;38;23;2.0201E+13;25.087987;121.58781;  Neihu Dist.;  JinRui Park
190;1;190;40;0;2.0201E+13;25.079278;121.546683;  Zhongshan Dist.;  MRT Dazhi Sta. (Exit 3)
191;1;191;58;23;2.0201E+13;25.083873;121.60206;  Neihu Dist.;  MRT Dahu Park Sta. (Exit 2)
192;1;192;44;12;2.0201E+13;25.072485;121.607955;  Neihu Dist.;  MRT Huzhou Sta. (Exit 1)
193;1;193;36;6;2.0201E+13;25.041277;121.61935;  Nangang Dist.;  Jiuzhuang Recreation Center
194;1;194;50;3;2.0201E+13;25.047958;121.524388;  Zhongshan Dist.;  Civic Blvd Linsen Intersection
195;1;195;50;43;2.0201E+13;25.035851;121.523987;  Zhongzheng Dist.;  Xinyi Hangzhou Intersection(Chunghwa Telecom)
196;1;196;20;7;2.0201E+13;25.068744;121.589233;  Neihu Dist.;  Xinhu Elementary School
197;1;197;34;5;2.0201E+13;25.049845;121.571885;  Songshan Dist.;  Raohe Night Market
201;1;201;44;16;2.0201E+13;25.057164;121.597924;  Nangang Dist.;  Dongyang Park
202;1;202;60;21;2.0201E+13;25.124646;121.467336;  Beitou Dist.;  MRT Guandu Sta.
203;1;203;40;3;2.0201E+13;25.024487;121.51057;  Wanhua Dist.;  Guting Junior High School
